,id,BoroCT2010,n_report,DBN,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,have_sold
1564,18514,3114600,0.0,24Q485,2111.91147798,0.0,3397.43766552,10,1731,Approaching Target,0.189,0.055,0.645,0.096,0.424032360315,0.681109189987,39231,2998,GROCERY SUPERMARKET,40.679657875,-73.892895056,0
1565,16069,3114600,3.0,27Q475,2224.17213833,0.0,142.961886417,10,1950,Approaching Target,0.049,0.121,0.489,0.325,0.417948722839,0.783589720726,39231,2998,GROCERY SUPERMARKET,40.679720814,-73.893946368,1
1566,17561,3114600,0.0,09X324,409.368420003,0.0,1276.46001534,10,286,Meeting Target,0.014,0.294,0.654,0.035,0.5,0.78968256712,39231,2998,GROCERY SUPERMARKET,40.680354864,-73.892708571,0
1567,20132,3114600,0.0,84M709,1466.16666465,0.0,59.820245963,10,214,Meeting Target,0.0,0.799,0.201,0.0,0.488294303417,0.792642116547,39231,2998,GROCERY SUPERMARKET,40.680424796,-73.892558217,0
1568,11895,3114600,0.0,02M411,1102.97875946,0.0,562.000608136,10,445,Exceeding Target,0.301,0.058,0.128,0.497,0.564044952393,0.467415720224,39231,2998,GROCERY SUPERMARKET,40.680761636,-73.891434642,0
1569,13507,3114600,0.0,84K707,2428.89297464,0.0,1809.62317112,10,418,Meeting Target,0.301,0.182,0.414,0.043,0.456404745579,0.415500551462,39231,2998,OTHER,40.67776738,-73.89363517,0
1570,13711,3114600,0.0,02M600,2496.19101793,0.0,264.723997422,10,1798,Exceeding Target,0.036,0.374,0.528,0.052,0.933815360069,0.813681840897,39231,2998,GROCERY SUPERMARKET,40.681064674,-73.891178225,0
1571,14931,3114600,3.0,15K462,2862.12872867,0.0,333.642934675,10,357,Meeting Target,0.031,0.669,0.232,0.025,0.65546220541,0.728291332722,39231,2998,GROCERY SUPERMARKET,40.678387443,-73.889737625,1
1572,15767,3114600,0.0,84K538,1149.56649006,0.0,1533.04364575,10,219,Approaching Target,0.0,0.594,0.397,0.005,0.491541355848,0.859022557735,39231,2998,GROCERY SUPERMARKET,40.681064674,-73.891178225,0
1573,17559,3115000,0.0,32K545,1820.92021268,0.0,152.839569628,4,520,Meeting Target,0.006,0.087,0.896,0.006,0.453846156597,0.940384626389,32361,2595,DELICATESSEN,40.673218301,-73.887025428,0
1574,17145,3115000,0.0,84Q705,1141.35725157,0.0,895.772119285,4,211,Meeting Target,0.118,0.137,0.555,0.19,0.479500889778,0.358288764954,32361,2595,GROCERY SUPERMARKET,40.673373317,-73.885636112,0
1575,18978,3115000,0.0,07X522,669.816563471,0.0,618.501764431,4,577,Approaching Target,0.028,0.243,0.705,0.014,0.195840552449,0.927209734917,32361,2595,GROCERY SUPERMARKET,40.674309241,-73.886956662,0
1576,10252,3115000,0.0,84M351,1257.84530563,0.0,1202.47281106,4,65,,0.0,0.8,0.2,0.0,0.517948746681,0.686324775219,32361,2595,GROCERY SUPERMARKET,40.675823269,-73.886607002,0
